AN_BASE,NM_ENTIDADE_ENSINO,CD_PROGRAMA,NM_PRODUCAO,NM_SUBTIPO_PRODUCAO,DS_PALAVRA_CHAVE,NM_REGIAO,SG_UF_IES,CD_AREA_CONHECIMENTO,NR_PAGINAS,DS_RESUMO,NM_GRAU_ACADEMICO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"EFEITO DA SUPLEMENTAÇÃO DE PREBIÓTICOS OU SIMBIÓTICOS NOS MARCADORES BIOQUÍMICOS DO METABOLISMO DO FERRO EM INDIVÍDUOS COM OBESIDADE MÓRBIDA: ENSAIO CLÍNICO RANDOMIZADO, PLACEBO-CONTROLADO E TRIPLO CEGO",DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"EFEITO DA SUPLEMENTAÇÃO DE SIMBIÓTICO SOBRE OS SINTOMAS DE DEPRESSÃO E ANSIEDADE EM INDIVÍDUOS COM DIABETES MELLITUS TIPO 2: ENSAIO CLÍNICO RANDOMIZADO, PLACEBO-CONTROLADO E TRIPLO CEGO",DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,EFEITO DO CONSUMO AGUDO DO SUCO DO FRUTO JUÇARA (EUTERPE EDULIS MARTIUS) SOBRE MARCADORES INFLAMATÓRIOS ANTES E APÓS UMA SESSÃO DE EXERCÍCIO INTERVALADO DE ALTA INTENSIDADE: UM ENSAIO CLÍNICO RANDOMIZADO UNICEGO CROSS-OVER,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,FORNECIMENTO DE ALIMENTOS PROVENIENTES DA AGRICULTURA FAMILIAR QUILOMBOLA PARA O PNAE: UMA ABORDAGEM ETNOGRÁFICA (PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR),DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,INGESTÃO ALIMENTAR DE SELÊNIO E SINDROME METABÓLICA EM ADOLESCENTES BRASILEIROS DE 12 A 17 ANOS: UM ESTUDO TRANSVERSAL DE BASE ESCOLAR,TESE,.,SUL,SC,40500004,0,.,DOUTORADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"QUALIDADE DA DIETA DE CIRANÇAS E ADOLESCENTES COM CARDIOPATIA CONGÊNITA PREVIAMENTO SUBMETIDOS A TRATAMENTO TERAPÊUTICO: ASSOCIAÇÃO COM PARÂMETROS CARDIOMETABÓLICOS, ANTROPOMÉTICOS E DE COMPOSIÇÃO CORPORAL",DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DO PARANÁ,40001016074P7,AS COMPRAS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR NO PARANÁ SOB AS DISTINTAS MODALIDADES DE GESTÃO: UMA MIRADA DE 2011 A 2016,DISSERTAÇÃO,GESTÃO;POLÍTICA PÚBLICA;SEGURANÇA ALIMENTAR E NUTRICIONAL,SUL,PR,40500004,82,AS COMPRAS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR NO PARANÁ SOB AS DISTINTAS MODALIDADES DE GESTÃO: UMA MIRADA DE 2011 A 2016,MESTRADO
2019,FUNDAÇÃO UNIV. FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,42015014014P7,"CARACTERIZAÇÃO FÍSICO-QUÍMICA E RELAÇÃO ENTRE PERFIL DE COMPOSTOS ORGÂNICOS VOLÁTEIS, OBTIDOS A PARTIR DE VALIDAÇÃO DO MÉTODO DE MICROEXTRAÇÃO EM FASE SÓLIDA, E AS CARACTERÍSTICAS SENSORIAIS DE AZEITES BRASILEIROS",DISSERTAÇÃO,SS,SUL,RS,40500004,11,.,MESTRADO
2020,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,DESENVOLVIMENTO E ACEITABILIDADE DE PREPARAÇÕES CULINÁRIAS MAIS SAUDÁVEIS E PROPOSTA METODOLÓGICA PARA INTERVENÇÃO DE ARQUITETURA DE ESCOLHA EM LANCHONETES UNIVERSITÁRIAS,DISSERTAÇÃO,FAZER,SUL,SC,40500004,0,FAZER,MESTRADO
2020,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,NOTIFICAÇÃO DE VITAMINAS E MINERAIS PARA FINS COMERCIAIS EM RÓTULOS DE ALIMENTOS INDUSTRIALIZADOS DIRECIONADOS A CRIANÇAS COMERCIALIZADOS NO BRASIL,DISSERTAÇÃO,AGUARDANDO TCC FINAL,SUL,SC,40500004,0,AGUARDANDO TCC FINAL,MESTRADO
2020,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,PADRÕES ALIMENTARES DO CAFÉ DA MANHÃ DE CRIANÇAS E ADOLESCENTES COM CARDIOPATIA CONGÊNITA PREVIAMENTE SUBMETIDOS A PROCEDIMENTO TERAPÊUTICO: ASSOCIAÇÃO COM PARÂMETROS CARDIOMETABÓLICOS E NUTRICIONAIS,DISSERTAÇÃO,AGUARDANDO TCC FINAL,SUL,SC,40500004,0,AGUARDANDO TCC FINAL;,MESTRADO
2021,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,"ASSOCIAÇÃO ENTRE O POLIMORFISMO ACTN3-R577X, STATUS DE SARCOPENIA E DESEMPENHO FÍSICO DE INDIVÍDUOS COM 50 ANOS OU MAIS, PRÉ E PÓS TREINAMENTO DE FORÇA",DISSERTAÇÃO,X,SUDESTE,MG,40500004,0,X,MESTRADO
2021,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,PERFIL DOS INDIVÍDUOS ATENDIDOS NO CENTRO DE TESTAGEM E ACONSELHAMENTO DE CONSELHEIRO LAFAIETE/MG ENTRE 2007 E 2018,DISSERTAÇÃO,X,SUDESTE,MG,40500004,0,X,MESTRADO
2021,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"EFEITO DO USO DE N-ACETILCISTEÍNA SOBRE OS NÍVEIS SÉRICOS DE 25-HIDROXIVITAMINA D (25(OH)D) EM HOMENS ADULTOS EM TRATAMENTO PELO TRANSTORNO POR USO DE ÁLCOOL: ENSAIO CLÍNICO RANDOMIZADO, DUPLO-CEGO, CONTROLADO COM PLACEBO",DISSERTAÇÃO,N-ACETILCISTEÍNA,SUL,SC,40500004,0,"EFEITO DO USO DE N-ACETILCISTEÍNA SOBRE OS NÍVEIS SÉRICOS DE 25-HIDROXIVITAMINA D (25(OH)D) EM HOMENS ADULTOS EM TRATAMENTO PELO TRANSTORNO POR USO DE ÁLCOOL: ENSAIO CLÍNICO RANDOMIZADO, DUPLO-CEGO, CONTROLADO COM PLACEBO",MESTRADO
2023,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,31004016052P7,DADOS BIOELÉTRICOS E SUA RELAÇÃO COM VARIÁVEIS DA APTIDÃO FÍSICA EM HOMENS ALTAMENTE TREINADOS,TESE,NUTRIÇÃO,SUDESTE,RJ,40500004,100,DADOS BIOELÉTRICOS E SUA RELAÇÃO COM VARIÁVEIS DA APTIDÃO FÍSICA EM HOMENS ALTAMENTE TREINADOS,DOUTORADO
2023,UNIVERSIDADE FEDERAL DE GOIÁS,52001016044P4,"ASSOCIAÇÕES ENTRE O COMPORTAMENTO ALIMENTAR E O ESTADO NUTRICIONAL DE ADULTOS USUÁRIOS DA ATENÇÃO PRIMÁRIA À SAÚDE DE GOIÂNIA, GOIÁS",DISSERTAÇÃO,COMPORTAMENTO ALIMENTAR;CONSUMO ALIMENTAR;ESTADO NUTRICIONAL;SISTEMA ÚNICO DE SAÚDE,CENTRO-OESTE,GO,40500004,0,NÃO DISPONÍVEL;,MESTRADO
2024,UNIVERSIDADE FEDERAL DE VIÇOSA,32002017024P3,"ABORDAGEM MULTICOMPONENTE NUTRIRCOM: EFEITOS SOBRE O COMPORTAMENTO ALIMENTAR, ADIPOSIDADE, MARCADORES DE ESTRESSE, ANSIEDADE E DEPRESSÃO EM MULHERES COM OBESIDADE",TESE,OBESIDADE;MULHER;NÃO-DIETA;PESO INCLUSIVO;NUTRIÇÃO COMPORTAMENTAL;COMPORTAMENTO ALIMENTAR;ESTRESSE;ANSIEDADE;DEPRESSÃO,SUDESTE,MG,40500004,100,XXXXXX,DOUTORADO
2024,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,A RELAÇÃO DO AMBIENTE ALIMENTAR COM A INSEGURANÇA ALIMENTAR EM DOIS MUNICÍPIOS BRASILEIROS: EVIDÊNCIAS DA PANDEMIA DE COVID-19,TESE,X,SUDESTE,MG,40500004,0,X,DOUTORADO
2024,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,ASSOCIAÇÃO DA RELIGIOSIDADE/ESPIRITUALIDADE COM O RISCO CARDIOVASCULAR DURANTE A PANDEMIA DE COVID-19 E SEUS POSSÍVEIS MEDIADORES,DISSERTAÇÃO,X,SUDESTE,MG,40500004,0,Z,MESTRADO
2024,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,EFEITO DO CONSUMO DE MIX DE FRUTAS SECAS E OLEAGINOSAS E CHOCOLATE AMARGO 70% CACAU NO PERFIL INFLAMATÓRIO E ANTIOXIDANTE DE TABAGISTAS EM TRATAMENTO PARA A CESSAÇÃO TABÁGICA,TESE,X,SUDESTE,MG,40500004,0,X,DOUTORADO
