word,tf_idf,freq,docs
dipicardio,0.2588991543314763,9,1
endometriose,0.2588991543314763,9,1
dopa,0.17402247806104906,9,2
angptl,0.25130927684293136,9,1
chaperonas,0.10466760877662892,9,3
pimentoes,0.14015400095128294,9,3
marmitas,0.1348768804533013,9,2
appcc,0.24649184661591034,9,1
neutropenia,0.08185677759883155,9,5
gcast,0.17930941868761008,9,2
tococromanois,0.2323853855143974,9,1
dextrose,0.11170652494111145,9,3
lupus,0.07871432191891208,9,4
bsf,0.22427891857784865,9,1
ecp,0.13290409910484494,9,3
cepp,0.22298250864387265,9,1
grc,0.12887761416118076,9,2
tabr,0.14399904879706554,9,2
owen,0.11136044998880411,9,3
icad,0.1818702640723262,9,2
ffp,0.12834817203679333,9,2
rlm,0.0880433100845331,9,3
cadetes,0.15401729960270882,9,2
rts,0.11411305672384708,9,3
mger,0.13471777108114802,9,2
interprofissional,0.08919339427282108,9,4
kgf,0.07142980512499172,9,4
armadores,0.11725136138515285,9,2
inflorescencia,0.16465305398345412,9,2
espaldeira,0.12425907846844608,9,2
jaracatia,0.17422140942854075,9,2
inoxidavel,0.06120542629887032,9,5
dla,0.1515946633650621,9,2
vmax,0.07495874939751096,9,4
meis,0.13870506429562499,9,2
dife,0.17635371162182195,9,2
lucena,0.11929468456789119,9,2
refogada,0.12367197557921844,9,2
trf,0.1528228850142488,9,2
passifloras,0.0885146561333678,9,3
cml,0.09054070886271531,9,4
sintaxina,0.10489529819872534,9,3
adrenal,0.10600737522642739,9,2
opi,0.169988418150386,9,2
sica,0.062804602248631,9,4
mamoes,0.10422343234235809,9,2
capsul,0.14324412862444866,9,3
rec,0.11341724396300448,9,2
antinociceptiva,0.06877135096201052,9,4
gota,0.07924298423454187,9,3
colocalizacao,0.10911206446244814,9,3
frcv,0.11494766625002807,9,3
phalerata,0.09867042360642028,9,2
platensis,0.08329485180417764,9,3
burnout,0.10462904729024204,9,3
elenco,0.05631330819395095,9,6
agroecologia,0.06830243428046516,9,4
ass,0.07789508981279974,9,3
app,0.08892531880970436,9,3
mindfulness,0.13958665576665863,9,2
diastolico,0.07403761590431947,9,4
cubiu,0.13942779171133235,9,2
mana,0.13942779171133235,9,2
demencia,0.05689999171887957,9,5
despendido,0.10940066119379722,9,3
dhe,0.0795971932225963,9,3
opg,0.07941826890143262,9,3
rankl,0.07941826890143262,9,3
mus,0.05809570446782812,9,4
voleibol,0.11057082391529663,9,3
atado,0.06635238881244697,9,4
abara,0.07771827533246384,9,3
mahei,0.12498627437530707,9,2
maracanau,0.10378300392371703,9,3
vulgar,0.14324692259219157,9,2
parafuso,0.0896865656546067,9,2
complementaridade,0.07499453385245329,9,4
burden,0.051206921038303266,9,6
dpf,0.15187391336767703,9,1
largo,0.09224523219116817,9,3
heterozigotos,0.0638057143413329,9,4
adipo,0.10184020610470693,9,3
nhanes,0.09455654582270231,9,3
lignanas,0.06752385716903682,9,4
autoclave,0.10823462920347149,9,3
cristal,0.049138615270265765,9,6
governador,0.05681151973710553,9,4
msc,0.05903640454429286,9,3
hrs,0.046941018891811896,9,5
irradiacao,0.050783567352659265,9,5
hepatocelular,0.04619012146647307,9,6
acessar,0.04344304482033523,9,7
publicitarias,0.06529999949817242,9,4
proativa,0.110962578689772,9,2
inalacao,0.05780967264794392,9,6
scm,0.08610753272118951,9,4
gradiente,0.04786541726351893,9,6
interferentes,0.04430373449124044,9,6
glicosilada,0.0764656550362281,9,3
cinematica,0.05573439738689377,9,6
baiana,0.050634987789625586,9,7
hipotensao,0.04913509926822388,9,5
glu,0.08363715511386229,9,3
dcse,0.05559751141922787,9,4
jeor,0.09965181360552283,9,2
reps,0.09706027720300828,9,3
cogumelo,0.08688551571636151,9,4
cabras,0.09549771530948127,9,3
gomas,0.050722489405468245,9,6
mlga,0.12364094229291657,9,1
digestivas,0.04714633524405239,9,5
aha,0.07547156348573728,9,4
vgp,0.07314415808762034,9,2
fecula,0.05438335516683631,9,4
seg,0.04428278427653406,9,6
hoteis,0.054603972514269225,9,6
opa,0.07053202645243055,9,4
aflatoxina,0.06561291527300783,9,4
cronificacao,0.05604939716639202,9,5
jurubeba,0.06698592130340358,9,3
eletiva,0.046390922542165335,9,7
olhos,0.04172317541771413,9,5
dissacarideos,0.04101606124119003,9,6
poliois,0.04780222286273372,9,5
alas,0.08204863915527487,9,3
acougues,0.038879055829244356,9,7
placentas,0.0892233637518387,9,3
retocolite,0.0508677306994685,9,6
litiasicos,0.08311845338523326,9,3
senescentes,0.059143235875087144,9,5
intensificou,0.03906571859154631,9,8
acr,0.09197818805852712,9,3
intolerantes,0.04852867868811826,9,6
grdyr,0.06191899903559866,9,5
extrauterino,0.055744728367602824,9,4
refrataria,0.06871983830194324,9,4
antagonistas,0.058480689852697734,9,5
gift,0.06499886100528848,9,4
cineol,0.06275596917127031,9,4
oleina,0.06636552894196171,9,5
contratilidade,0.06521099606610326,9,4
miocardica,0.06200735484515231,9,4
srage,0.06954226489154167,9,3
tuc,0.07527792455406616,9,3
dgyr,0.06744968578785117,9,4
lipidomica,0.03810480343591229,9,6
prensagem,0.048243993137270576,9,6
